Id,Name,ProductLicense__c,ProductLicense__r.Name,Query__c
a00DK000006p3doYAA,default,a03DK00000ZZWffYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,
a00DK000006p3dpYAA,default,a03DK00000ZZWfgYAH,CRM Analytics for Communications Cloud - Enterprise Edition,"SELECT Assignee.Name, Assignee.Username, Assignee.UserType, Assignee.LastLoginDate FROM PermissionSetLicenseAssign WHERE PermissionSetLicense.DeveloperName='EinsteinAnalyticsPlusPsl' AND Assignee.IsActive=true ORDER BY Assignee.Name"
a00DK000006p3dqYAA,Default,a03DK00000ZZWfcYAH,Communications Cloud Advanced - Sales & Service - Enterprise Edition,"SELECT Assignee.Name, Assignee.Username, Assignee.UserType, Assignee.LastLoginDate FROM PermissionSetLicenseAssign WHERE PermissionSetLicense.DeveloperName='vlocity_cmt_CommunicationsCloudPlusPsl' AND Assignee.IsActive=true AND Assignee.Profile.Name!='AtendimentoLoja' ORDER BY Assignee.Name"
a00DK000006p3drYAA,default,a03DK00000ZZWfbYAH,Communications Cloud Advanced - Sales & Service - EE (Restricted Use),"SELECT Name, Username, UserType, LastLoginDate FROM User WHERE IsActive=true AND UserType='Standard' AND Profile.Name='AtendimentoLoja' ORDER BY Name"
a00DK000006p3dsYAA,default,a03DK00000ZZWfdYAH,Contract Lifecycle Management for Communications Cloud - EE,
a00DK000006p3dtYAA,default,a03DK00000ZZWfeYAH,Communications Cloud Growth - Sales & Service - Enterprise Edition,"SELECT Assignee.Name, Assignee.Username, Assignee.UserType, Assignee.LastLoginDate FROM PermissionSetLicenseAssign WHERE PermissionSetLicense.DeveloperName='vlocity_cmt_CommunicationsCloudPsl' AND Assignee.IsActive=true ORDER BY Assignee.Name"
a00DK000006p3duYAA,default,a03DK00000ZZWfhYAH,Partner Community for Communications Cloud Advanced - EE - Members,"SELECT Name, Username, UserType, LastLoginDate FROM User WHERE IsActive=true AND UserType='PowerPartner' AND Profile.Name != 'AtendimentoRevenda' ORDER BY Name"
a00DK000006p3ihYAA,default,a03DK00000ZZWkdYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,
a00DK000006p3icYAA,default,a03DK00000ZZWkYYAX,Partner Community for Communications Cloud Advanced - EE - Members,"SELECT Name, Username, UserType, LastLoginDate FROM User WHERE IsActive=true AND UserType='PowerPartner' AND Profile.Name='AtendimentoRevenda' ORDER BY Name"
a00DK000006p3i3YAA,default,a03DK00000ZZWkiYAH,Knowledge,
a00DK000006p3iXYAQ,default,a03DK00000ZZWkTYAX,Communications Cloud Advanced - Sales & Service  EE (Restricted Use),
a00DK000006p3HVSYAA,HVS,a03DK00000ZZWHVSYAH,Sales Engagement (HVS) - Enterprise Edition,"SELECT Assignee.Name, Assignee.Username, Assignee.UserType, Assignee.LastLoginDate FROM PermissionSetLicenseAssign WHERE PermissionSetLicense.DeveloperName='HighVelocitySalesPsl' AND Assignee.IsActive=true ORDER BY Assignee.Name"
