AssignmentType__c,Id,Name,Quantity__c,Type__c,UserType__c,Weight__c
,a03DK00000ZZWkiYAH,Knowledge,20,Add-on,,
Login,a03DK00000ZZWkdYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,20000000,Base,External,80
Named,a03DK00000ZZWkYYAX,Partner Community for Communications Cloud Advanced - EE - Members,34009,Base,External,90
Named,a03DK00000ZZWkTYAX,Communications Cloud Advanced - Sales & Service  EE (Restricted Use),8706,Base,Internal,100
Named,a03DK00000ZZWfcYAH,Communications Cloud Advanced - Sales & Service - Enterprise Edition,6838,Base,Internal,100
,a03DK00000ZZWfdYAH,Contract Lifecycle Management for Communications Cloud - EE,10338,Add-on,,
Named,a03DK00000ZZWfeYAH,Communications Cloud Growth - Sales & Service - Enterprise Edition,1487,Base,Internal,80
Login,a03DK00000ZZWffYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,4000000,Base,External,
,a03DK00000ZZWfgYAH,CRM Analytics for Communications Cloud - Enterprise Edition,187,Add-on,,
Named,a03DK00000ZZWfhYAH,Partner Community for Communications Cloud Advanced - EE - Members,4940,Base,External,70
Named,a03DK00000ZZWfbYAH,Communications Cloud Advanced - Sales & Service - EE (Restricted Use),3500,Base,Internal,90
,a03DK00000ZZWHVSYAH,Sales Engagement (HVS) - Enterprise Edition,300,Add-on,,
